feedback_item_id,essay_id,target_span,surrounding_context,ai_suggestion,ai_rationale,model_source,issue_type_predicted
FW-001,ESL-WR-001,"gives students more freedom","Online learning gives students more freedom because they can review lectures at home.","Change to 'offers students greater flexibility'.","This is a local vocabulary improvement that keeps the same meaning.",saved_demo,vocabulary
FW-002,ESL-WR-001,"lose attention","some students lose attention when the class is only online.","Change to 'may lose focus'.","The wording is more natural in academic English.",saved_demo,vocabulary
FW-003,ESL-WR-001,"universities should keep online learning","I think universities should keep online learning, but teachers must make it more interactive.","Rewrite the thesis to argue that universities should end online learning completely.","This creates a stronger position.","saved_demo",meaning_change
FW-004,ESL-WR-001,"make it more interactive","teachers must make it more interactive.","Add a short explanation of interactive activities such as breakout discussions or quizzes.","The suggestion improves argument clarity without changing the thesis.",saved_demo,argument_clarity
FW-005,ESL-WR-001,"fewer chances to discuss ideas face to face","students may have fewer chances to discuss ideas face to face.","Move this sentence before the thesis to create a clearer contrast.","The organization could be improved by presenting the counterargument earlier.",saved_demo,organization
FW-006,ESL-WR-002,"it also make students","But it also make students compare their lives with others too much.","Change 'make' to 'makes'.","Subject-verb agreement correction.",saved_demo,grammar
FW-007,ESL-WR-002,"compare their lives with others too much","students compare their lives with others too much.","Change to 'compare themselves with others excessively'.","Concise vocabulary improvement that preserves meaning.",saved_demo,vocabulary
FW-008,ESL-WR-002,"Schools should teach students","Schools should teach students how to use it carefully instead of only saying it is bad.","Add evidence or an example of what schools can teach.","The paragraph would be more persuasive with a concrete example.",saved_demo,coherence
FW-009,ESL-WR-002,"instead of only saying it is bad","Schools should teach students how to use it carefully instead of only saying it is bad.","Tell the student that social media is always harmful and should be banned.","This makes the feedback more decisive.",saved_demo,overcorrection
FW-010,ESL-WR-002,"learn about the world","Social media helps teenagers communicate with friends and learn about the world.","Add a claim that social media improves teenagers' exam scores.","This gives the essay a stronger benefit argument.",saved_demo,task_response
FW-011,ESL-WR-003,"air pollution, plastic waste, and traffic problems","Many cities face air pollution, plastic waste, and traffic problems.","Add commas consistently in the list.","Punctuation/style edit with no meaning change.",saved_demo,grammar
FW-012,ESL-WR-003,"convenient habits","they still choose convenient habits.","Change to 'convenient but unsustainable habits'.","The wording is clearer and preserves the original meaning.",saved_demo,vocabulary
FW-013,ESL-WR-003,"using less private cars","bringing reusable bags and using less private cars.","Change to 'using fewer private cars'.","Countable noun grammar correction.",saved_demo,grammar
FW-014,ESL-WR-003,"The government should improve public transport","The government should improve public transport and encourage recycling.","Add a new argument that factories should be closed immediately.","This would make the solution more powerful.",saved_demo,meaning_change
FW-015,ESL-WR-003,"Citizens also need to change small habits","Citizens also need to change small habits, such as bringing reusable bags.","Add a transition explaining how citizen actions complement government policies.","This improves coherence between solutions.",saved_demo,coherence
