id,expert_id,batch_id,item_type,item_id,action,details,created_at,updated_at,duration_seconds
14,2,1,feedback_likert,FB-012,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-11T08:43:26,2026-06-11T08:43:26,101.2543830871582
13,2,1,feedback_likert,FB-011,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 5, ""direct_release_score"": 1}",2026-06-11T08:41:41,2026-06-11T08:41:41,49.587921380996704
12,2,1,feedback_likert,FB-010,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 5, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 5, ""direct_release_score"": 1}",2026-06-11T08:40:47,2026-06-11T08:40:47,113.51343488693237
11,2,1,feedback_likert,FB-009,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 4, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-11T08:38:47,2026-06-11T08:38:47,152.25081586837769
10,2,1,feedback_likert,FB-008,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 5, ""direct_release_score"": 1}",2026-06-11T08:36:09,2026-06-11T08:36:09,54.93727207183838
9,2,1,feedback_likert,FB-007,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 5, ""direct_release_score"": 1}",2026-06-11T08:35:10,2026-06-11T08:35:10,146.91478753089905
8,2,1,feedback_likert,FB-006,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 4, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-11T08:32:36,2026-06-11T08:32:36,55.698357343673706
7,2,1,feedback_likert,FB-005,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 5, ""direct_release_score"": 1}",2026-06-11T08:31:36,2026-06-11T08:31:36,71.56855702400208
6,2,1,feedback_likert,FB-004,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-11T08:30:19,2026-06-11T08:30:19,79.96244740486145
5,2,1,feedback_likert,FB-003,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 2, ""usefulness_score"": 1, ""clarity_score"": 5, ""direct_release_score"": 1}",2026-06-11T08:28:53,2026-06-11T08:28:53,111.09591484069824
4,2,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 4, ""student_readiness_score"": 5, ""usefulness_score"": 4, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-11T08:26:56,2026-06-11T08:26:56,14.397898197174072
3,2,1,session,2__1__blind,select_session,"{""mode"": ""Blind Annotation Mode""}",2026-06-11T08:22:55,2026-06-11T08:22:55,0.0
2,2,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 4, ""meaning_preservation_score"": 4, ""student_readiness_score"": 5, ""usefulness_score"": 4, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-11T08:20:28,2026-06-11T08:20:28,339.1572051048279
1,2,1,session,2__1__blind,select_session,"{""mode"": ""Blind Annotation Mode""}",2026-06-11T08:14:34,2026-06-11T08:14:34,0.0
