feedback_item_id,correctness_score_gap,meaning_preservation_score_gap,student_readiness_score_gap,usefulness_score_gap,clarity_score_gap,direct_release_score_gap,max_score_gap,mean_score_gap
FB-005,4.0,4.0,4.0,4.0,0.0,4.0,4.0,3.3333
FB-020,4.0,4.0,4.0,4.0,0.0,4.0,4.0,3.3333
FB-017,3.0,4.0,4.0,4.0,1.0,3.0,4.0,3.1667
FB-009,0.0,4.0,3.0,2.0,2.0,2.0,4.0,2.1667
FB-010,3.0,2.0,4.0,1.0,1.0,2.0,4.0,2.1667
FB-030,0.0,4.0,0.0,4.0,0.0,0.0,4.0,1.3333
FB-003,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.8333
FB-007,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.6667
FB-011,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.6667
FB-016,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.6667
FB-019,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.6667
FB-023,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.6667
FB-024,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.6667
FB-028,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.6667
FB-008,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.1667
FB-025,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.1667
FB-029,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.1667
FB-001,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0
FB-004,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.6667
FB-014,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.6667
FB-026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FB-012,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8333
FB-002,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5
FB-006,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3333
FB-021,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3333
FB-027,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3333
FB-013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FB-015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FB-018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FB-022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
